CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
36244,0,2017,6,1,0.0,0.14285714285714285,0.0,0,1,0,0,0,0,0,0,-0.4424493740963017,0,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,94.579,0,0,3,0,227.0,-0.44244937409630164,0,1,0,0,1,3.0,,0
36247,0,2017,6,1,0.0,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,-0.4424493740963017,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),94.147,0,0,,0,227.0,-0.44244937409630164,0,1,0,0,1,,,0
36254,0,2017,7,1,0.0,0.125,0.0,1,1,0,0,0,0,0,0,-0.4424493740963017,1,0,0,0,0.07,1,0,0,0,0,0,0,0,0,0,Sweden,Business Products and Services (B2B),94.12100000000001,0,0,,0,90.0,,0,1,0,0,1,3.0,2012.0,0
36259,0,2016,2,3,0.0,1.0,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,3,0,0,0,0.6255936950000001,1,0,0,1,0,0,0,0,0,0,Germany,Information Technology,86.783,0,0,,0,115.0,-0.44244937409630164,1,4,1,0,2,,,0
36262,0,2017,7,7,3.1927940500000003,0.125,20.0,0,0,0,0,0,0,0,0,0.14138381476473638,1,0,0,0,0.5020489666666668,1,0,1,0,0,0,0,0,0,0,Denmark,Financial Services,94.042,0,0,,0,34.0,-0.44244937409630164,1,5,0,0,3,4.0,2007.0,0
36264,0,2011,12,1,0.0,0.08333333333333333,0.0,0,0,0,0,0,0,0,0,-0.04728404172985682,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),96.368,0,0,,0,227.0,-0.04728404172985682,0,2,0,0,1,,,0
36265,0,2017,7,1,0.0,0.125,0.0,0,0,0,0,0,0,0,0,-0.26266285826148367,2,0,0,0,0.07,1,0,0,0,0,0,0,0,0,0,Denmark,Information Technology,96.854,0,0,,0,90.0,-0.44244937409630164,0,2,0,0,1,,,0
36267,0,2017,7,1,0.0,0.125,0.0,1,0,0,0,0,0,0,1,-0.4424493740963017,1,0,0,0,0.07,1,0,0,0,0,0,0,0,0,0,Denmark,Information Technology,94.712,0,0,4,0,90.0,-0.44244937409630164,0,1,0,0,1,4.0,1997.0,0
36268,0,2015,7,1,0.0,0.125,0.0,0,0,0,0,1,0,0,0,-0.24486670791307927,2,0,0,0,0.07,1,0,0,0,0,0,0,0,0,0,Denmark,Business Products and Services (B2B),94.317,0,0,4,0,90.0,-0.44244937409630164,0,2,0,0,1,4.0,,0
36271,0,2011,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,-0.04728404172985682,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),96.525,0,0,,0,227.0,-0.04728404172985682,0,1,0,0,1,,,0
36272,0,2014,9,1,0.0,0.1,0.0,0,0,0,1,0,0,0,0,-0.4424493740963017,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),90.84,0,0,3,0,227.0,-0.44244937409630164,0,1,0,0,1,3.0,,0
36274,0,2016,0,1,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0.31228898993977916,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),85.577,0,0,4,0,227.0,0.31228898993977916,0,1,0,0,1,4.0,2003.0,0
36275,0,2016,4,1,0.0,0.25,50.0,1,0,0,0,0,0,0,0,-0.44244937409630164,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Materials and Resources,88.20700000000001,0,0,4,0,227.0,-0.44244937409630164,0,2,0,0,1,4.0,2012.0,0
36277,0,2015,8,1,0.0,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,-0.13196232723695211,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,94.148,0,0,,0,227.0,-0.04728404172985682,0,1,0,0,1,,,0
36279,0,2016,7,1,0.0,0.125,100.0,1,0,0,0,0,0,0,1,-0.4424493740963017,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),91.467,0,0,4,1,227.0,-0.44244937409630164,0,2,0,0,1,3.5,,0
36280,0,2017,5,1,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,89.458,0,0,,0,227.0,-0.44244937409630164,0,1,0,0,1,,,0
36282,1,2014,9,5,2.80592624,0.1111111111111111,33.33333333333333,1,0,0,0,0,0,0,0,0.45988213412332435,3,0,0,0,1.34,1,0,1,0,0,0,0,0,0,0,France,Information Technology,93.321,0,0,,0,78.0,-0.44244937409630164,1,3,0,0,2,4.0,1992.0,0
36284,0,2017,3,1,0.0,0.25,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,0,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Healthcare,91.048,0,0,,0,227.0,-0.44244937409630164,0,1,0,0,1,,,0
36285,0,2011,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),97.223,0,0,,0,227.0,-0.44244937409630164,0,1,0,0,1,,,0
